prompt,completion
"drum, standard, kick, electronic, punchy, dubstep, house","SynthDef(\kick, {
        var snd;
        snd = SinOsc.ar(45 * (1 + (5 * Env.perc(0, 0.1, curve: -8).ar)) * (1 + (0.4 * Env.perc(0, 0.5, curve: -2).ar)));
        snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 6130, 0.3) * Env.perc(0.001, 0.02).ar * -12.dbamp);
        snd = snd * (1 + Env.perc(0.0, 0.5).ar);
        snd = snd.tanh;
        snd = snd * Env.adsr(0.001, 0.5, 0, 0.01, curve: -7).ar(Done.freeSelf, \gate.kr(1));
        snd = snd * -4.dbamp;
        snd = snd ! 2;
        Out.ar(\out.kr(0), snd);
}).add;"
"synth, pluck, flange, electronic","SynthDef(\pluck, {
        var snd, shift;
        shift = 2;
        snd = Pulse.ar((\freq.kr(90) * XLine.ar(1.3, 1, 0.01)) + shift);
        snd = FreqShift.ar(snd, shift * -2);
        snd = (RLPF.ar(snd, XLine.kr([1000, 1200], [50, 8310], \duration.kr * 1.3) * \cutoff.kr.linexp(-1, 1, 0.5, 2), 0.1) * [0, -16].dbamp).sum;
        snd = snd + (Latch.ar(snd, Impulse.ar(\sampleRate.kr.linexp(-1, 1, 1000, 16e3))) * -5.dbamp);
        snd = snd * Env.adsr(0.001, 0.4, 0, 0.03, curve: -7).ar(Done.freeSelf, \gate.kr(1));
        snd = snd * -8.dbamp;
        snd = snd * \amp.kr(1);
        snd = snd ! 2;
        Out.ar(\out.kr(0), snd);
}).add;"
"drum, clap, standard, house, regular","SynthDef(\clap, {
	var snd, env;
	env = Env([0, 1, 0.3, 1, 0.3, 1, 0], [0.001, 0.01, 0.001, 0.015, 0.001, 0.1], -4).ar(Done.freeSelf);
	snd = Hasher.ar(Sweep.ar);
	snd = BPF.ar(snd, 1240, 0.3) * 12.dbamp;
	snd = snd * env;
	snd = snd * -5.dbamp;
	snd = Pan2.ar(snd, \pan.kr(0));
	Out.ar(\out.kr(0), snd);
}).add;"
"drum, kick, distorted, chiptune, bitcrushed, distorted, hard","SynthDef(\kick, {
        var snd;
        snd = (LFPulse.ar(30 * (1 + (8 * Env.perc(0.0, 0.1, curve: -3).ar))) - (1 / 2)).sign;
        snd = snd * Env.linen(0.0, \duration.kr(0.08), 0.0).ar(Done.freeSelf);
        snd = snd * \amp.kr(-10.dbamp);
        snd = Pan2.ar(snd, \pan.kr(0));
        OffsetOut.ar(\out.kr(0), snd);
}).add;"
"drum, snare, loud, chiptune, tonal, laser, space, fast ","SynthDef(\snare, {
	var snd;
	snd = LFPulse.ar(210 * (1 + (3 * Env.perc(0.0, 0.08, curve: -2).ar))) - (1 / 2);
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 2210, 0.3) * Env.perc(0.001, 0.05).ar * 30.dbamp);
	snd = snd.sign;
	snd = snd * Env.linen(0.0, \duration.kr(0.07), 0.0).ar(Done.freeSelf);
	snd = snd * \amp.kr(-10.dbamp);
	snd = Pan2.ar(snd, \pan.kr(0));
	OffsetOut.ar(\out.kr(0), snd);
}).add;"
"drum, hat, closed, chiptune, white noise, noisy, noise, fuzzy, fuzz, short","SynthDef(\hat, {
	var snd;
	snd = BPF.ar(Hasher.ar(Sweep.ar), 8210, 0.3);
	snd = snd.sign;
	snd = snd * Env.linen(0.0, 0.02, 0.0).ar(Done.freeSelf);
	snd = snd * \amp.kr(-10.dbamp);
	snd = Pan2.ar(snd, \pan.kr(0));
	OffsetOut.ar(\out.kr(0), snd);
}).add;"
"synth, chiptune, alert, alternating, sin, sinwave, sine, sinewav, saw, sawwave, 2-note, 2-notes, alarm","SynthDef(\chip, {
	var snd;
	snd = (LFPulse.ar(\freq.kr(440) * (2 ** LFPulse.ar(\octaveFreq.kr(3), 0.5))) - (1 / 2)).sign;
	snd = snd * Env.asr(0.0, 1, 0.0).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * \amp.kr(-10.dbamp);
	snd = Pan2.ar(snd, \pan.kr(0));
	OffsetOut.ar(\out.kr(0), snd);
}).add;"
"vocal, bright, vibrant, synth, vox","SynthDef(\vocal, {
	var snd, formantFreq, freq;
	formantFreq = \formantFreq.kr(200) * XLine.kr(3, 1, 0.5);
	freq = \freq.kr(440);
	snd = (LFSaw.ar(freq).linlin(-1, 1, 0, 1) * (formantFreq / freq)) % 1;
	snd = ((snd > 0.5) * 2) - 1;
	snd = snd.sign;
	snd = snd * Env.asr(0.0, 1, 0.0).ar(Done.freeSelf, \gate.kr(1));
	snd = snd * \amp.kr(-10.dbamp);
	snd = Pan2.ar(snd, \pan.kr(0));
	OffsetOut.ar(\out.kr(0), snd);
}).add;"
"synth, fx, effect, effects","SynthDef(\fx, {
	var snd;
	snd = In.ar(\out.kr(0), 2);
	snd = snd.sign * -5.dbamp;
	ReplaceOut.ar(\out.kr(0), snd);
}).add;"
"drum, kick, hard, house, punchy, boxy, box, bright","SynthDef(\kick, {
	var snd, velocity;
	velocity = \velocity.kr(1).clip(0, 1);
	snd = SinOsc.ar(
		69
		* (1 + (3 * Env.perc(0.0, 0.3, curve: -9).ar * velocity))
		* (1 + (8 * Env.perc(0.0, 0.01, curve: -4).ar * velocity))
		* [1, 2.3, 1.4]
	);
	snd = snd * (Env.perc(0, [3.0, 0.5, 0.1]).ar);
	snd = (snd * [0, -10, -15].dbamp).sum;
	snd = snd + (BPF.ar(Hasher.ar(Sweep.ar), 12420, 0.3) * Env.perc(0.001, 0.015).ar * 5.dbamp);
	snd = (snd * 6.dbamp).tanh;
	snd = snd * Env.perc(0.0005, 0.8 * velocity.sqrt).ar(Done.freeSelf);
	snd = (snd * 5.dbamp * velocity).clip2;
	snd = snd * -6.dbamp;
	snd = Pan2.ar(snd, \pan.kr(0));
	Out.ar(\out.kr(0), snd);
}).add;"
